Month,Unique Players,Gain,% Gain,Peak Players
May 2019,"93,249","-6,148",-6.2%,"115,344"
April 2019,"99,397","-3,667",-3.6%,"125,192"
March 2019,"103,064","-1,486",-1.4%,"135,362"
February 2019,"104,550","-5,966",-5.4%,"135,997"
January 2019,"53,440","-8,606",-13.9%,"94,285"
December 2018,"103,086","+16,936",+19.7%,"130,396"
November 2018,"86,150","-9,974",-10.4%,"115,597"
October 2018,"96,124","-16,248",-14.5%,"123,747"
September 2018,"112,372","+3,322",+3.0%,"143,375"
August 2018,"109,050","+5,665",+5.5%,"135,017"
July 2018,"103,385","-1,538",-1.5%,"116,721"
June 2018,"104,923",-945,-0.9%,"142,988"
May 2018,"105,868","-1,304",-1.2%,"141,902"
April 2018,"107,172","-21,286",-16.6%,"124,863"
March 2018,"128,458","+32,868",+34.4%,"178,780"
February 2018,"95,590","+7,974",+9.1%,"125,390"
January 2018,"87,616","+3,555",+4.2%,"108,959"
December 2017,"84,061","+24,552",+41.3%,"100,612"
November 2017,"59,509","+13,227",+28.6%,"99,371"
October 2017,"46,282","-8,783",-16.0%,"59,879"
September 2017,"55,065","+6,159",+12.6%,"70,920"
August 2017,"48,906","+7,185",+17.2%,"73,628"
July 2017,"41,721","+5,111",+14.0%,"47,206"
June 2017,"36,610",+943,+2.6%,"43,202"
May 2017,"53,440","-8,606",-13.9%,"94,285"
April 2017,"36,731","+1,300",+3.7%,"46,706"
March 2017,"35,431","-6,615",-15.7%,"47,573"
February 2017,"42,046","+14,441",+52.3%,"64,865"
January 2017,"27,605","+3,684",+15.4%,"34,408"
December 2016,"23,921","+1,637",+7.3%,"30,944"
November 2016,"22,284","+7,351",+49.2%,"41,813"
October 2016,"14,933",+1,0.0%,"19,448"
September 2016,"14,932","-3,727",-20.0%,"18,090"
August 2016,"18,659","+3,822",+25.8%,"32,310"
July 2016,"14,837","+2,029",+15.8%,"39,459"
June 2016,"12,808","+3,146",+32.6%,"15,320"
May 2016,"9,662",-724,-7.0%,"14,500"
April 2016,"10,386","+2,292",+28.3%,"29,115"
March 2016,"8,094","-4,088",-33.6%,"11,331"
February 2016,"12,182","-1,885",-13.4%,"16,052"
January 2016,"14,067","+3,507",+33.2%,"20,093"
December 2015,"10,560","+10,559","+1,055,900.0%","17,974"
November 2015,1,—,—,1
